"date","year","month","soi"
1950-01-01,1950,1,0.377
1950-02-01,1950,2,0.246
1950-03-01,1950,3,0.311
1950-04-01,1950,4,0.104
1950-05-01,1950,5,-0.016
1950-06-01,1950,6,0.235
1950-07-01,1950,7,0.137
1950-08-01,1950,8,0.191
1950-09-01,1950,9,-0.016
1950-10-01,1950,10,0.29
1950-11-01,1950,11,0.038
1950-12-01,1950,12,-0.016
1951-01-01,1951,1,-0.158
1951-02-01,1951,2,0.366
1951-03-01,1951,3,0.607
1951-04-01,1951,4,-0.355
1951-05-01,1951,5,-0.18
1951-06-01,1951,6,0.268
1951-07-01,1951,7,0.093
1951-08-01,1951,8,0.027
1951-09-01,1951,9,0.246
1951-10-01,1951,10,0.202
1951-11-01,1951,11,0.432
1951-12-01,1951,12,0.617
1952-01-01,1952,1,0.76
1952-02-01,1952,2,0.891
1952-03-01,1952,3,0.607
1952-04-01,1952,4,0.574
1952-05-01,1952,5,0.005
1952-06-01,1952,6,0.475
1952-07-01,1952,7,0.202
1952-08-01,1952,8,-0.027
1952-09-01,1952,9,-0.038
1952-10-01,1952,10,0.716
1952-11-01,1952,11,0.836
1952-12-01,1952,12,0.891
1953-01-01,1953,1,0.53
1953-02-01,1953,2,0.53
1953-03-01,1953,3,0.377
1953-04-01,1953,4,-0.235
1953-05-01,1953,5,-0.585
1953-06-01,1953,6,-0.18
1953-07-01,1953,7,-0.53
1953-08-01,1953,8,-0.464
1953-09-01,1953,9,-0.443
1953-10-01,1953,10,0.049
1953-11-01,1953,11,0.454
1953-12-01,1953,12,0.257
1954-01-01,1954,1,0.41
1954-02-01,1954,2,0.224
1954-03-01,1954,3,0.148
1954-04-01,1954,4,-0.432
1954-05-01,1954,5,-0.093
1954-06-01,1954,6,-0.268
1954-07-01,1954,7,0.158
1954-08-01,1954,8,-0.06
1954-09-01,1954,9,-0.399
1954-10-01,1954,10,0.235
1954-11-01,1954,11,0.366
1954-12-01,1954,12,0.202
1955-01-01,1955,1,0.344
1955-02-01,1955,2,-0.038
1955-03-01,1955,3,0.29
1955-04-01,1955,4,-0.126
1955-05-01,1955,5,-0.366
1955-06-01,1955,6,-0.115
1955-07-01,1955,7,-0.301
1955-08-01,1955,8,-0.486
1955-09-01,1955,9,-0.137
1955-10-01,1955,10,0.738
1955-11-01,1955,11,0.366
1955-12-01,1955,12,0.366
1956-01-01,1956,1,0.65
1956-02-01,1956,2,0.628
1956-03-01,1956,3,0.126
1956-04-01,1956,4,0.169
1956-05-01,1956,5,0.137
1956-06-01,1956,6,-0.257
1956-07-01,1956,7,0.169
1956-08-01,1956,8,-0.093
1956-09-01,1956,9,0.475
1956-10-01,1956,10,0.639
1956-11-01,1956,11,0.596
1956-12-01,1956,12,0.749
1957-01-01,1957,1,0.191
1957-02-01,1957,2,1
1957-03-01,1957,3,0.486
1957-04-01,1957,4,0.41
1957-05-01,1957,5,0.158
1957-06-01,1957,6,0.126
1957-07-01,1957,7,0.06
1957-08-01,1957,8,0.246
1957-09-01,1957,9,0.738
1957-10-01,1957,10,0.803
1957-11-01,1957,11,0.421
